freqHz,wcetMs,phaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,tickCount,worstCasePathMs,criticalPathThroughCnnMs,criticalPathExecutionThroughCnnMs
50,0,83/5,84/5,14/5,28/5,18,3000,98,98,5771/1500
50,1/4,83/5,84/5,14/5,28/5,18,3000,98,98,3073/750
50,1/2,83/5,84/5,14/5,28/5,18,3000,98,98,6521/1500
50,3/4,83/5,84/5,14/5,28/5,18,3000,98,98,1724/375
50,1,83/5,84/5,14/5,28/5,18,3000,98,98,7271/1500
50,5/4,83/5,84/5,14/5,28/5,18,3000,98,98,3823/750
50,3/2,83/5,84/5,14/5,28/5,18,3000,98,98,8021/1500
50,7/4,83/5,84/5,14/5,28/5,18,3000,98,98,2099/375
50,2,83/5,84/5,14/5,28/5,18,3000,98,98,8771/1500
50,9/4,83/5,84/5,14/5,28/5,18,3000,98,98,4573/750
50,5/2,83/5,84/5,14/5,28/5,18,3000,98,98,9521/1500
50,11/4,83/5,84/5,14/5,28/5,18,3000,98,98,2474/375
50,3,83/5,84/5,14/5,28/5,18,3000,98,98,10271/1500
50,13/4,83/5,84/5,14/5,28/5,18,3000,98,98,5323/750
50,7/2,83/5,84/5,14/5,28/5,18,3000,98,98,11021/1500
50,15/4,83/5,84/5,14/5,28/5,18,3000,98,98,2849/375
50,4,83/5,84/5,14/5,28/5,18,3000,98,98,11771/1500
50,17/4,83/5,84/5,14/5,28/5,18,3000,98,98,6073/750
50,9/2,83/5,84/5,14/5,28/5,18,3000,98,98,12521/1500
50,19/4,83/5,84/5,14/5,28/5,18,3000,98,98,3224/375
50,5,83/5,84/5,14/5,28/5,18,3000,98,98,13271/1500
100,0,83/5,42/5,14/5,14/5,18,3000,98,98,5771/1500
100,1/4,83/5,42/5,14/5,14/5,18,3000,98,98,3073/750
100,1/2,83/5,42/5,14/5,14/5,18,3000,98,98,6521/1500
100,3/4,83/5,42/5,14/5,14/5,18,3000,98,98,1724/375
100,1,83/5,42/5,14/5,14/5,18,3000,98,98,7271/1500
100,5/4,83/5,42/5,14/5,14/5,18,3000,98,98,3823/750
100,3/2,83/5,42/5,14/5,14/5,18,3000,98,98,8021/1500
100,7/4,83/5,42/5,14/5,14/5,18,3000,98,98,2099/375
100,2,83/5,42/5,14/5,14/5,18,3000,98,98,8771/1500
100,9/4,83/5,42/5,14/5,14/5,18,3000,98,98,4573/750
100,5/2,83/5,42/5,14/5,14/5,18,3000,98,98,9521/1500
100,11/4,83/5,42/5,14/5,14/5,18,3000,98,98,2474/375
100,3,83/5,42/5,14/5,14/5,18,3000,98,98,10271/1500
100,13/4,83/5,42/5,14/5,14/5,18,3000,98,98,5323/750
100,7/2,83/5,42/5,14/5,14/5,18,3000,98,98,11021/1500
100,15/4,83/5,42/5,14/5,14/5,18,3000,98,98,2849/375
100,4,83/5,42/5,14/5,14/5,18,3000,98,98,11771/1500
100,17/4,83/5,42/5,14/5,14/5,18,3000,98,98,6073/750
100,9/2,83/5,42/5,14/5,14/5,18,3000,98,98,12521/1500
100,19/4,83/5,42/5,14/5,14/5,18,3000,98,98,3224/375
100,5,83/5,42/5,14/5,14/5,18,3000,98,98,13271/1500
150,0,83/5,28/5,14/5,28/15,18,3000,98,98,5771/1500
150,1/4,83/5,28/5,14/5,28/15,18,3000,98,98,3073/750
150,1/2,83/5,28/5,14/5,28/15,18,3000,98,98,6521/1500
150,3/4,83/5,28/5,14/5,28/15,18,3000,98,98,1724/375
150,1,83/5,28/5,14/5,28/15,18,3000,98,98,7271/1500
150,5/4,83/5,28/5,14/5,28/15,18,3000,98,98,3823/750
150,3/2,83/5,28/5,14/5,28/15,18,3000,98,98,8021/1500
150,7/4,83/5,28/5,14/5,28/15,18,3000,98,98,2099/375
150,2,83/5,28/5,14/5,28/15,18,3000,98,98,8771/1500
150,9/4,83/5,28/5,14/5,28/15,18,3000,98,98,4573/750
150,5/2,83/5,28/5,14/5,28/15,18,3000,98,98,9521/1500
150,11/4,83/5,28/5,14/5,28/15,18,3000,98,98,2474/375
150,3,83/5,28/5,14/5,28/15,18,3000,98,98,10271/1500
150,13/4,83/5,28/5,14/5,28/15,18,3000,98,98,5323/750
150,7/2,83/5,28/5,14/5,28/15,18,3000,98,98,11021/1500
150,15/4,83/5,28/5,14/5,28/15,18,3000,98,98,2849/375
150,4,83/5,28/5,14/5,28/15,18,3000,98,98,11771/1500
150,17/4,83/5,28/5,14/5,28/15,18,3000,98,98,6073/750
150,9/2,83/5,28/5,14/5,28/15,18,3000,98,98,12521/1500
150,19/4,83/5,28/5,14/5,28/15,18,3000,98,98,3224/375
150,5,83/5,28/5,14/5,28/15,18,3000,98,98,13271/1500
75,0,83/5,56/5,42/5,56/15,18,6000,123,98,5771/1500
75,1/4,83/5,56/5,42/5,56/15,18,6000,123,98,3073/750
75,1/2,83/5,56/5,42/5,56/15,18,6000,123,98,6521/1500
75,3/4,83/5,56/5,42/5,56/15,18,6000,123,98,1724/375
75,1,83/5,56/5,42/5,56/15,18,6000,123,98,7271/1500
75,5/4,83/5,56/5,42/5,56/15,18,6000,123,98,3823/750
75,3/2,83/5,56/5,42/5,56/15,18,6000,123,98,8021/1500
75,7/4,83/5,56/5,42/5,56/15,18,6000,123,98,2099/375
75,2,83/5,56/5,42/5,56/15,18,6000,123,98,8771/1500
75,9/4,83/5,56/5,42/5,56/15,18,6000,123,98,4573/750
75,5/2,83/5,56/5,42/5,56/15,18,6000,123,98,9521/1500
75,11/4,83/5,56/5,42/5,56/15,18,6000,123,98,2474/375
75,3,83/5,56/5,42/5,56/15,18,6000,123,98,10271/1500
75,13/4,83/5,56/5,42/5,56/15,18,6000,123,98,5323/750
75,7/2,83/5,56/5,42/5,56/15,18,6000,123,98,11021/1500
75,15/4,83/5,56/5,42/5,56/15,18,6000,123,98,2849/375
75,4,83/5,56/5,42/5,56/15,18,6000,123,98,11771/1500
75,17/4,83/5,56/5,42/5,56/15,18,6000,123,98,6073/750
75,9/2,83/5,56/5,42/5,56/15,18,6000,123,98,12521/1500
75,19/4,83/5,56/5,42/5,56/15,18,6000,123,98,3224/375
75,5,83/5,56/5,42/5,56/15,18,6000,123,98,13271/1500
