freqHz,wcetMs,feasible,selectedPhaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,selectedCriticalPathThroughCnnMs,selectedCriticalPathExecutionThroughCnnMs,firstErrorId
50,0,yes,83/5,84/5,14/5,28/5,18,98,5771/1500,
50,1/4,yes,83/5,84/5,14/5,28/5,18,98,3073/750,
50,1/2,yes,83/5,84/5,14/5,28/5,18,98,6521/1500,
50,3/4,yes,83/5,84/5,14/5,28/5,18,98,1724/375,
50,1,yes,83/5,84/5,14/5,28/5,18,98,7271/1500,
50,5/4,yes,83/5,84/5,14/5,28/5,18,98,3823/750,
50,3/2,yes,83/5,84/5,14/5,28/5,18,98,8021/1500,
50,7/4,yes,83/5,84/5,14/5,28/5,18,98,2099/375,
50,2,yes,83/5,84/5,14/5,28/5,18,98,8771/1500,
50,9/4,yes,83/5,84/5,14/5,28/5,18,98,4573/750,
50,5/2,yes,83/5,84/5,14/5,28/5,18,98,9521/1500,
50,11/4,yes,83/5,84/5,14/5,28/5,18,98,2474/375,
50,3,yes,83/5,84/5,14/5,28/5,18,98,10271/1500,
50,13/4,yes,83/5,84/5,14/5,28/5,18,98,5323/750,
50,7/2,yes,83/5,84/5,14/5,28/5,18,98,11021/1500,
50,15/4,yes,83/5,84/5,14/5,28/5,18,98,2849/375,
50,4,yes,83/5,84/5,14/5,28/5,18,98,11771/1500,
50,17/4,yes,83/5,84/5,14/5,28/5,18,98,6073/750,
50,9/2,yes,83/5,84/5,14/5,28/5,18,98,12521/1500,
50,19/4,yes,83/5,84/5,14/5,28/5,18,98,3224/375,
50,5,yes,83/5,84/5,14/5,28/5,18,98,13271/1500,
75,0,yes,83/5,56/5,42/5,56/15,18,98,5771/1500,
75,1/4,yes,83/5,56/5,42/5,56/15,18,98,3073/750,
75,1/2,yes,83/5,56/5,42/5,56/15,18,98,6521/1500,
75,3/4,yes,83/5,56/5,42/5,56/15,18,98,1724/375,
75,1,yes,83/5,56/5,42/5,56/15,18,98,7271/1500,
75,5/4,yes,83/5,56/5,42/5,56/15,18,98,3823/750,
75,3/2,yes,83/5,56/5,42/5,56/15,18,98,8021/1500,
75,7/4,yes,83/5,56/5,42/5,56/15,18,98,2099/375,
75,2,yes,83/5,56/5,42/5,56/15,18,98,8771/1500,
75,9/4,yes,83/5,56/5,42/5,56/15,18,98,4573/750,
75,5/2,yes,83/5,56/5,42/5,56/15,18,98,9521/1500,
75,11/4,yes,83/5,56/5,42/5,56/15,18,98,2474/375,
75,3,yes,83/5,56/5,42/5,56/15,18,98,10271/1500,
75,13/4,yes,83/5,56/5,42/5,56/15,18,98,5323/750,
75,7/2,yes,83/5,56/5,42/5,56/15,18,98,11021/1500,
75,15/4,yes,83/5,56/5,42/5,56/15,18,98,2849/375,
75,4,yes,83/5,56/5,42/5,56/15,18,98,11771/1500,
