freqHz,wcetMs,criticalPathThroughCnnMs
50,0,98
50,1/2,98
50,1,98
50,3/2,98
50,2,98
50,5/2,98
50,3,98
50,7/2,98
50,4,98
50,9/2,98
50,5,98
100,0,98
100,1/2,98
100,1,98
100,3/2,98
100,2,98
100,5/2,98
100,3,98
100,7/2,98
100,4,98
100,9/2,98
100,5,98
150,0,98
150,1/2,98
150,1,98
150,3/2,98
150,2,98
150,5/2,98
150,3,98
150,7/2,98
150,4,98
150,9/2,98
150,5,98
200,0,98
200,1/2,98
200,1,98
200,3/2,98
200,2,98
200,5/2,98
200,3,98
200,7/2,98
200,4,98
200,9/2,98
250,0,98
250,1/2,98
250,1,98
250,3/2,98
250,2,98
250,5/2,98
250,3,98
250,7/2,98
300,0,98
300,1/2,98
300,1,98
300,3/2,98
300,2,98
300,5/2,98
300,3,98
350,0,98
350,1/2,98
350,1,98
400,0,98
400,1/2,98
400,1,98
400,3/2,98
450,0,98
450,1/2,98
450,1,98
450,3/2,98
450,2,98
500,0,98
500,1/2,98
500,1,98
500,3/2,98
