freqHz,wcetMs,phaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,tickCount,worstCasePathMs,criticalPathThroughCnnMs,criticalPathExecutionThroughCnnMs
160,0,83/5,21/4,7/4,7/4,18,6000,98,98,5771/1500
160,1/2,83/5,21/4,7/4,7/4,18,6000,98,98,6521/1500
160,1,83/5,21/4,7/4,7/4,18,6000,98,98,7271/1500
160,3/2,83/5,21/4,7/4,7/4,18,6000,98,98,8021/1500
160,2,83/5,21/4,7/4,7/4,18,6000,98,98,8771/1500
150,0,83/5,28/5,14/5,28/15,18,3000,98,98,5771/1500
150,1/2,83/5,28/5,14/5,28/15,18,3000,98,98,6521/1500
150,1,83/5,28/5,14/5,28/15,18,3000,98,98,7271/1500
150,3/2,83/5,28/5,14/5,28/15,18,3000,98,98,8021/1500
150,2,83/5,28/5,14/5,28/15,18,3000,98,98,8771/1500
150,5/2,83/5,28/5,14/5,28/15,18,3000,98,98,9521/1500
