anchorAxis,anchorValue,maxFeasibleValue,minInfeasibleValue,iterations,selectedPhaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,selectedCriticalPathThroughCnnMs,selectedCriticalPathExecutionThroughCnnMs,status
freqHz,50,865/256,1735/512,11,83/5,84/5,14/5,28/5,18,98,693719/96000,frontier-found
freqHz,60,5,,2,83/5,14,1,14/3,18,98,13271/1500,all-feasible-up-to-hi
freqHz,70,5,,2,83/5,12,10,4,18,98,13271/1500,all-feasible-up-to-hi
freqHz,80,5,,2,83/5,21/2,7,7/2,18,98,13271/1500,all-feasible-up-to-hi
freqHz,90,315/64,2525/512,11,83/5,28/3,14/3,28/9,18,98,210461/24000,frontier-found
freqHz,100,865/256,1735/512,11,83/5,42/5,14/5,14/5,18,98,693719/96000,frontier-found
freqHz,110,705/512,355/256,11,83/5,84/11,14/11,28/11,18,98,1003063/192000,frontier-found
freqHz,120,1675/512,105/32,11,83/5,7,1,7/3,18,98,1366813/192000,frontier-found
freqHz,130,365/128,1465/512,11,83/5,84/13,70/13,28/13,154/13,58,321547/48000,frontier-found
freqHz,140,745/256,1495/512,11,83/5,6,4,2,18,98,648719/96000,frontier-found
freqHz,150,1355/512,85/32,11,83/5,28/5,14/5,28/15,18,98,1246813/192000,frontier-found
freqHz,160,285/128,1145/512,11,83/5,21/4,7/4,7/4,18,98,291547/48000,frontier-found
freqHz,170,395/512,25/32,11,83/5,84/17,1,28/17,18,98,886813/192000,frontier-found
freqHz,180,205/128,825/512,11,83/5,14/3,1,14/9,18,98,261547/48000,frontier-found
freqHz,190,195/128,785/512,11,83/5,84/19,70/19,28/19,18,98,257797/48000,frontier-found
freqHz,200,215/128,865/512,11,83/5,21/5,14/5,7/5,18,98,265297/48000,frontier-found
freqHz,210,375/256,755/512,11,83/5,4,2,4/3,18,98,509969/96000,frontier-found
freqHz,220,705/512,355/256,11,83/5,42/11,14/11,14/11,18,98,1003063/192000,frontier-found
freqHz,230,175/512,45/128,11,83/5,84/23,1,28/23,18,98,804313/192000,frontier-found
freqHz,240,235/256,475/512,11,83/5,7/2,1,7/6,18,98,457469/96000,frontier-found
freqHz,250,595/512,75/64,11,83/5,84/25,14/5,28/25,18,98,961813/192000,frontier-found
freqHz,260,495/512,125/128,11,83/5,42/13,28/13,14/13,18,98,924313/192000,frontier-found
freqHz,270,395/512,25/32,11,83/5,28/9,14/9,28/27,18,98,886813/192000,frontier-found
freqHz,280,325/512,165/256,11,83/5,3,1,1,18,98,860563/192000,frontier-found
freqHz,290,35/64,285/512,11,83/5,84/29,1,28/29,18,98,105461/24000,frontier-found
freqHz,300,515/512,65/64,11,83/5,14/5,1,14/15,18,98,931813/192000,frontier-found
freqHz,310,45/256,95/512,11,83/5,84/31,70/31,28/31,18,98,386219/96000,frontier-found
freqHz,320,155/512,5/16,11,83/5,21/8,7/4,7/8,18,98,796813/192000,frontier-found
freqHz,330,15/512,5/128,11,83/5,28/11,14/11,28/33,18,98,744313/192000,frontier-found
freqHz,340,195/512,25/64,11,83/5,42/17,1,14/17,18,98,811813/192000,frontier-found
freqHz,350,5/128,25/512,11,83/5,12/5,1,4/5,18,98,186547/48000,frontier-found
freqHz,360,45/128,185/512,11,83/5,7/3,1,7/9,18,98,201547/48000,frontier-found
freqHz,370,55/512,15/128,11,83/5,84/37,70/37,28/37,18,98,759313/192000,frontier-found
freqHz,380,25/256,55/512,11,83/5,42/19,28/19,14/19,18,98,378719/96000,frontier-found
freqHz,390,95/512,25/128,11,83/5,28/13,14/13,28/39,18,98,774313/192000,frontier-found
freqHz,400,35/128,145/512,11,83/5,21/10,1,7/10,18,98,197797/48000,frontier-found
freqHz,410,85/512,45/256,11,83/5,84/41,1,28/41,18,98,770563/192000,frontier-found
freqHz,420,5/128,25/512,11,83/5,2,1,2/3,18,98,186547/48000,frontier-found
freqHz,430,15/256,35/512,11,83/5,84/43,70/43,28/43,18,98,374969/96000,frontier-found
freqHz,440,0,5/512,11,83/5,21/11,14/11,7/11,18,98,5771/1500,frontier-found
freqHz,450,,0,1,,,,,,,,all-infeasible
freqHz,460,25/512,15/256,11,83/5,42/23,1,14/23,18,98,748063/192000,frontier-found
freqHz,470,,0,1,,,,,,,,all-infeasible
freqHz,480,,0,1,,,,,,,,all-infeasible
freqHz,490,,0,1,,,,,,,,all-infeasible
freqHz,500,75/512,5/32,11,83/5,42/25,28/25,14/25,308/25,194/3,766813/192000,frontier-found
