freqHz,wcetMs,feasible,selectedPhaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,selectedCriticalPathThroughCnnMs,selectedCriticalPathExecutionThroughCnnMs,firstErrorId
150,0,yes,83/5,28/5,14/5,28/15,18,98,5771/1500,
150,1/2,yes,83/5,28/5,14/5,28/15,18,98,6521/1500,
150,1,yes,83/5,28/5,14/5,28/15,18,98,7271/1500,
150,3/2,yes,83/5,28/5,14/5,28/15,18,98,8021/1500,
150,2,yes,83/5,28/5,14/5,28/15,18,98,8771/1500,
150,5/2,yes,83/5,28/5,14/5,28/15,18,98,9521/1500,
150,3,no,,28/5,,28/15,,,,E_NOT_LIVE
150,7/2,no,,28/5,,28/15,,,,E_NOT_LIVE (skipped: WCET monotonicity)
150,4,no,,28/5,,28/15,,,,E_NOT_LIVE (skipped: WCET monotonicity)
150,9/2,no,,28/5,,28/15,,,,E_NOT_LIVE (skipped: WCET monotonicity)
150,5,no,,28/5,,28/15,,,,E_NOT_LIVE (skipped: WCET monotonicity)
160,0,yes,83/5,21/4,7/4,7/4,18,98,5771/1500,
160,1/2,yes,83/5,21/4,7/4,7/4,18,98,6521/1500,
160,1,yes,83/5,21/4,7/4,7/4,18,98,7271/1500,
160,3/2,yes,83/5,21/4,7/4,7/4,18,98,8021/1500,
160,2,yes,83/5,21/4,7/4,7/4,18,98,8771/1500,
160,5/2,no,,21/4,,7/4,,,,E_NOT_LIVE
160,3,no,,21/4,,7/4,,,,E_NOT_LIVE (skipped: WCET monotonicity)
160,7/2,no,,21/4,,7/4,,,,E_NOT_LIVE (skipped: WCET monotonicity)
160,4,no,,21/4,,7/4,,,,E_NOT_LIVE (skipped: WCET monotonicity)
160,9/2,no,,21/4,,7/4,,,,E_NOT_LIVE (skipped: WCET monotonicity)
160,5,no,,21/4,,7/4,,,,E_NOT_LIVE (skipped: WCET monotonicity)
